Object,Close-Approach (CA) Date,CA Distance Minimum (au),V relative (m/s),Estimated Diameter(meters),Mass(Kg),Force(joules),Megatons(TNT),Damage,Extinction
(2007 RF1),2020,0.02323,4970.0,20,75398223.68616001,187364585860.10764,22416.189167871104,Major extinction event,1
(2018 BD),2020,0.0097,9410.0,3002,254978282318076.4,1.1996728183065495e+18,0.0035009545401959623,Multiple city blocks,0
(2009 PQ1),2020,0.02157,13470.0,106,11225061347.724442,75600788176924.11,55.55497636044461,Mount Krakatoa comparable,0
(2016 AH164),2020,0.03374,5630.0,3007,256254447535155.03,7.213562698114614e+17,0.005822365696076561,Levels half large city,0
465824 (2010 FR),2020,0.04955,14040.0,150,31808625617.59875,223296551835543.2,18.80906787621727,Entirety of Paris destroyed,0
(2012 RM15),2020,0.01872,9780.0,42,698262949.5575278,3414505823336.311,1230.0462255168109,Continent exterminated,0
(2017 US),2020,0.041339999999999995,5940.0,21,87282868.69469097,259230120023.2321,16201.820990645674,Major extinction event,1
(2014 QJ33),2020,0.00718,8280.0,62,2246188481.8343925,9299220314794.383,451.65076832496436,Minor extiction event,0
(2017 SL16),2020,0.01976,6390.0,23,114671273.4486886,366374718668.5601,11463.67308110994,Major extinction event,1
(2001 GP2),2020,0.00091,2210.0,14,25861590.72435288,28577057750.40993,146971.04357917156,Major extinction event,1
(2010 UC),2020,0.03112,3210.0,7988,4803804183239242.0,7.710105714098983e+18,0.0005447396126255085,,0
(2017 UH5),2020,0.02226,5930.0,17,46303934.12126301,137291164669.54485,30591.91762346293,Major extinction event,1
(2017 TK6),2020,0.04231,12440.0,37,477393278.0468828,2969386189451.612,1414.4337354703125,Continent exterminated,0
(2008 GM2),2020,0.03621,3590.0,4995,1174566486474599.2,2.1083468432219057e+18,0.0019920820966922593,Multiple city blocks,0
(2010 JL88),2020,0.00118,15660.0,14,25861590.72435288,202496255371.68307,20741.12428543864,Major extinction event,1
(2017 WJ16),2020,0.01043,4750.0,45,858832891.6751662,2039728117728.52,2059.097956975364,Continent exterminated,0
153201 (2000 WO107),2020,0.02876,25070.0,450,858832891675.1663,1.076547029714821e+16,0.3901362303802544,Entirety of Paris destroyed,0
(2017 XQ60),2020,0.02215,15680.0,43,749335821.3269402,5874792839203.211,714.918826068706,Minor extiction event,0
(2011 CL50),2020,0.00302,3360.0,7982,4792987515389937.0,8.052219025855095e+18,0.000521595349867422,,0
501647 (2014 SD224),2020,0.02019,10010.0,118,15485211782.439856,77503484971111.48,54.19111155537716,Mount Krakatoa comparable,0
(2012 XE133),2020,0.01379,9160.0,64,2470648993.748091,11315572391366.258,371.1699112282278,Minor extiction event,0
(2016 AF2),2020,0.00983,5350.0,6984,3210582391782805.0,8.588307898019003e+18,0.0004890369616311474,Large city block,0
(2012 UK171),2020,0.03971,4710.0,43,749335821.3269402,1764685859224.944,2380.027004831701,Continent exterminated,0
(2003 AF23),2021,0.04674,15780.0,210,87282868694.69098,688661834001111.9,6.098784327277269,Entirety of Paris destroyed,0
(2012 BT1),2021,0.01644,7750.0,7988,4803804183239242.0,1.8614741210052063e+19,0.000225627633100372,Large city block,0
(2016 CO247),2021,0.0493,16730.0,260,165649897438.4935,1385661392072998.2,3.0310435320108415,Entirety of Paris destroyed,0
332446 (2008 AF4),2021,0.024569999999999998,10990.0,390,559068403854.9156,3072080879182761.0,1.3671515058279615,Entirety of Paris destroyed,0
(2015 NU13),2021,0.0377,15070.0,370,477393278046.8828,3597158350083262.0,1.1675882992203508,Entirety of Paris destroyed,0
(2013 YS2),2021,0.04641,3670.0,72,3517779524.301481,6455125427093.218,650.6457616411159,Minor extiction event,0
(2017 QW1),2021,0.044739999999999995,4000.0,19,64644552.03292143,129289104065.84285,32485.336102732006,Major extinction event,1
65717 (1993 BX3),2021,0.047330000000000004,3600.0,230,114671273448.68855,206408292207639.44,20.34801971897015,Entirety of Paris destroyed,0
(2018 BX),2021,0.018340000000000002,6130.0,5000,1178097245096250.2,3.610868056220008e+18,0.001163155212156026,Multiple city blocks,0
(2018 BA3),2021,0.00183,8080.0,18,54965305.06721064,222059832471.5309,18913.821348300164,Major extinction event,1
468727 (2010 JE87),2021,0.04042,14940.0,240,130288130529.68448,973252335056743.0,4.315427611848606,Entirety of Paris destroyed,0
(2016 CL136),2021,0.03533,18060.0,170,46303934121.263016,418124525115005.06,10.044854457759422,Entirety of Paris destroyed,0
(2018 CH2),2021,0.00339,9920.0,5992,2027619883886939.2,1.0056994624079219e+19,0.00041761979169642206,Large city block,0
(2008 DB),2021,0.01281,5990.0,24,130288130.52968448,390212950936.405,10763.353676296856,Major extinction event,1
(2015 EQ),2021,0.04083,10520.0,20,75398223.68616001,396594656589.2017,10590.157810296518,Major extinction event,1
(2011 DW),2021,0.03391,13610.0,83,5388965515.854796,36671910335391.89,114.52907584000609,Mount Krakatoa comparable,0
(2011 EH17),2021,0.0073799999999999985,16830.0,39,559068403.8549157,4704560618439.116,892.7507456357274,Minor extiction event,0
(2016 DV1),2021,0.00107,18400.0,36,439722440.5376852,4045446452946.7036,1038.2043240099542,Continent exterminated,0
(1999 RM45),2021,0.01958,20040.0,430,749335821326.9404,7508344929695942.0,0.5593776044290074,Entirety of Paris destroyed,0
(2015 BY310),2021,0.036289999999999996,7320.0,150,31808625617.59875,116419569760411.42,36.07640887733476,Entirety of Paris destroyed,0
(2015 FM34),2021,0.04833,11280.0,112,13241134450.868671,74679998302899.31,56.23995842856015,Mount Krakatoa comparable,0
231937 (2001 FO32),2021,0.01347,34410.0,237,125463143727.00215,2158593387823072.0,1.9457115099549496,Entirety of Paris destroyed,0
(2014 FO38),2021,0.042910000000000004,8340.0,18,54965305.06721064,229205322130.2684,18324.18183384476,Major extinction event,1
(2017 HG4),2021,0.015380000000000001,4120.0,6990,3218864199550717.0,6.630860251074477e+18,0.0006334019781700912,Multiple city blocks,0
(2016 QE45),2021,0.02798,15360.0,150,31808625617.59875,244290244743158.4,17.192663605604846,Entirety of Paris destroyed,0
(2015 HA177),2021,0.00214,8710.0,6990,3218864199550717.0,1.4018153589043372e+19,0.0002996114982848192,Large city block,0
478784 (2012 UV136),2021,0.04045,4970.0,26,165649897.43849352,411639995134.6564,10203.0901993041,Major extinction event,1
441987 (2010 NY65),2021,0.03992,13350.0,170,46303934121.263016,309078760259430.6,13.588769401283535,Entirety of Paris destroyed,0
(2014 BP43),2021,0.01094,8270.0,17,46303934.12126301,191466767591.4225,21935.921584901484,Major extinction event,1
(2008 GO20),2021,0.01633,8330.0,118,15485211782.439856,64495907073862.0,65.12041136486499,Mount Krakatoa comparable,0
(2012 BA35),2021,0.01756,4240.0,54,1484063236.8146873,3146214062047.1367,1334.9377751071393,Continent exterminated,0
(2016 BQ),2021,0.01112,4690.0,14,25861590.72435288,60645430248.60751,69255.01200639,Major extinction event,1
